,original_Tweets,Currency,len,ID,Date,Source,Likes,RTs
0,"BTC surpassed Apple; SEC you can’t shut down Bitcoin, XRP move to close ... https://t.co/lPheTRU4BK via @YouTube",BTC,112,1382228515899240449,2021-04-14 07:05:33,Twitter Web App,0,0
1,"RT @ashwsbreal: When Bitcoin hits $100k I’m gonna
give $10,000 to 10 people randomly ( $1000 each ) just like and retweet this + be followi…",BTC,140,1382228514045329408,2021-04-14 07:05:32,Twitter for Android,0,267
2,"@Crypto_Mags Nah. Regret is a losers game. Honor that you have done the best you could. Honor the adventure. Love that you participated. Even if you end up broke or broken. God, to be a player, to participate ... it’s the ultimate gift.
#Bitcoin #cryptocurrenices #dontlookbacklove",BTC,281,1382228508559101959,2021-04-14 07:05:31,Twitter for iPhone,0,0
3,"@ecurrencyhodler Sonething, something, this is good for Bitcoin.",BTC,64,1382228507657347079,2021-04-14 07:05:31,Twitter for Android,0,0
4,RT @flurbnb: 💯 $100 to someone who retweets and follows @EthmonTer in 24 hours 💯 #giveaway #Bitcoin #Ethereum #BNB #TRX #DeFi #NFT,BTC,130,1382228505291849729,2021-04-14 07:05:30,Twitter for Android,0,1880
5,"RT @ashwsbreal: When Bitcoin hits $100k I’m gonna
give $10,000 to 10 people randomly ( $1000 each ) just like and retweet this + be followi…",BTC,140,1382228504901783552,2021-04-14 07:05:30,Twitter Web App,0,267
6,"RT @Investingcom: *BITCOIN CLIMBS TO NEW ALL-TIME HIGH, SURPASSING $64,000 FOR THE FIRST TIME EVER 🚀🚀

#BTC
#BITCOIN https://t.co/xpJZOtML74",BTC,140,1382228504788488192,2021-04-14 07:05:30,Twitter for Android,0,26
7,"RT @ashwsbreal: When Bitcoin hits $100k I’m gonna
give $10,000 to 10 people randomly ( $1000 each ) just like and retweet this + be followi…",BTC,140,1382228503484002304,2021-04-14 07:05:30,Twitter for Android,0,267
8,"Rt If this is Adorable 😍

#Bitcoin https://t.co/FP94aXgDeO",BTC,58,1382228501860868096,2021-04-14 07:05:30,Twitter for Android,0,0
9,"RT @cryptovenizo: $50 in 24hrs

✓ RT this 
✓ Follow me + @MatrixAINetwork
✓ Subscribe + Like video 
✓ Show proof

YTC: https://t.co/nR15Ids…",BTC,140,1382228494424317956,2021-04-14 07:05:28,Twitter Web App,0,815
10,"🐂 📈 Former CIA Director: Bitcoin is ""Too Transparent"" for Criminals to Launder Money With | BTCMANAGER - BTCMANAGER #BTC  https://t.co/Xh3ebKZZ8z",BTC,145,1382228494344724480,2021-04-14 07:05:28,,0,0
11,"RT @MMCrypto: OOPS, #BITCOIN DID IT AGAIN! https://t.co/vHoGZTtXj3",BTC,66,1382228489764442115,2021-04-14 07:05:27,Twitter for Android,0,206
12,"RT @ashwsbreal: When Bitcoin hits $100k I’m gonna
give $10,000 to 10 people randomly ( $1000 each ) just like and retweet this + be followi…",BTC,140,1382228486715232256,2021-04-14 07:05:26,Twitter Web App,0,267
13,"&gt; ""if all criminals used blockchain, we could wipe out illicit financial activity""

https://t.co/jFetae14Ir",BTC,110,1382228482550284289,2021-04-14 07:05:25,Twitter Web App,0,0
14,"RT @ashwsbreal: When Bitcoin hits $100k I’m gonna
give $10,000 to 10 people randomly ( $1000 each ) just like and retweet this + be followi…",BTC,140,1382228479673040896,2021-04-14 07:05:24,Twitter for iPhone,0,267
